id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
141,Dupont Circle,9/9/2014,T,0.92,2,Entire home/apt,2,1 bath,1,1,110,3
147,Dupont Circle,1/15/2011,F,1,4,Entire home/apt,3,1 bath,1,2,140,3
149,Georgetown,10/12/2014,F,0.63,1,Entire home/apt,3,1 bath,1,2,145,3
151,Dupont Circle,3/12/2012,F,,2,Entire home/apt,3,1 bath,1,1,99,31
155,Georgetown,4/8/2013,F,0.67,32,Entire home/apt,6,2 baths,3,3,854,31
158,Georgetown,1/7/2014,F,,1,Entire home/apt,6,2 baths,2,2,180,60
160,Union Station,10/19/2014,T,0.97,7,Entire home/apt,4,1 bath,1,2,198,1
161,Union Station,3/30/2013,T,1,5,Entire home/apt,4,1 bath,1,2,165,2
162,Union Station,11/13/2014,T,0.95,1,Entire home/apt,2,1 bath,1,1,107,4
163,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,140,31
164,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,224,31
166,Union Station,6/24/2014,T,1,3,Entire home/apt,5,1 bath,1,3,182,1
167,Dupont Circle,8/18/2014,T,1,3,Entire home/apt,2,1 bath,,1,127,31
169,Capitol Hill,11/21/2014,F,0,2,Entire home/apt,2,1 bath,1,1,180,31
170,Capitol Hill,11/22/2014,T,1,1,Entire home/apt,4,1 bath,2,2,199,3
172,Capitol Hill,9/19/2012,T,0.99,1,Entire home/apt,2,1 bath,1,1,128,2
173,Capitol Hill,12/16/2014,T,1,3,Entire home/apt,4,1 bath,1,2,275,31
176,Union Station,3/1/2014,T,1,2,Entire home/apt,2,1 bath,1,1,110,31
178,Georgetown,5/18/2009,F,0.99,164,NA,8,3.5 baths,4,5,333,31
179,Foggy Bottom,1/1/2015,T,1,1,Entire home/apt,2,1 bath,1,1,67,31
181,Capitol Hill,12/16/2014,T,1,3,Entire home/apt,4,1 bath,1,2,240,31
182,Foggy Bottom,4/20/2014,F,,1,Entire home/apt,1,1 bath,1,2,120,180
184,Capitol Hill,12/16/2014,T,1,3,Entire home/apt,6,1 bath,2,3,295,31
185,Union Station,1/11/2015,T,1,2,Entire home/apt,5,2 baths,2,2,261,2
186,Union Station,1/11/2015,T,1,2,Entire home/apt,3,1 bath,1,1,164,2
